Song,Artist,Image,Lat,Lon
Holiday in Danville,Hunter Hunted,https://i.scdn.co/image/ab67616d0000b2734e1a27b390392ae8ba40cfc4,37.8215929,-121.9999606
Hollywood,"RAC, Penguin Prison",https://i.scdn.co/image/ab67616d0000b2735dc08a1f177fbec3ce382c1d,34.0928092,-118.3286614
Hollywood Nights,Bob Seger,https://i.scdn.co/image/ab67616d0000b273ef063cb80508c55eb443a671,34.0928092,-118.3286614
Hotel California,Eagles,https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,36.778261,-119.4179324
Houston Dubai,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b27360124a534f8f257e7c158613,29.7604267,-95.3698028
Houston Dubai,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b27360124a534f8f257e7c158613,25.2048493,55.2707828
Hudson,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b27309f8dd8bf944e66b585fe708,42.3788592,-73.7983898
I Woke up in Chicago,Former Belle,https://i.scdn.co/image/ab67616d0000b2730d574fb245f014d83a7accbe,41.8781136,-87.6297982
Ipanema,Still Woozy,https://i.scdn.co/image/ab67616d0000b273dfe0edd0bc3902eb0b0e81b5,-22.984667,-43.1985932
It's a Longer Road to California Than I Thought,The Wind and The Wave,https://i.scdn.co/image/ab67616d0000b2739047d1240dc46757ea2ea6ed,36.778261,-119.4179324
Ithaca,Beatenberg,https://i.scdn.co/image/ab67616d0000b2738842e85e405d9de6d1e0395f,38.4284603,20.6764877
Ithaca,Beatenberg,https://i.scdn.co/image/ab67616d0000b2738842e85e405d9de6d1e0395f,42.4439614,-76.5018807
"Jerusalem, New York, Berlin",Vampire Weekend,https://i.scdn.co/image/ab67616d0000b273a2b1d3e73c66663c01351bcf,40.7127753,-74.0059728
"Jerusalem, New York, Berlin",Vampire Weekend,https://i.scdn.co/image/ab67616d0000b273a2b1d3e73c66663c01351bcf,52.52000659999999,13.404954
"Jerusalem, New York, Berlin",Vampire Weekend,https://i.scdn.co/image/ab67616d0000b273a2b1d3e73c66663c01351bcf,31.768319,35.21371
Kalifornia,Modern Pleasure,https://i.scdn.co/image/ab67616d0000b273e4779902c28979c42f1d723c,36.778261,-119.4179324
King of Spain,The Tallest Man on Earth,https://i.scdn.co/image/ab67616d0000b273d2f6e14bf85bf359f248aef6,40.46366700000001,-3.74922
Ladies of Cambridge,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b27311b2557f3e2e06b35ef76d4b,42.3736158,-71.10973349999999
